palabra	peso
"AgroConecta:	0.1850
Potenciando	0.2323
resiliencia	0.2445
sector	0.2289
agrícola	0.2084
frente	0.2107
a	0.1506
pérdida	0.2151
competitividad,	0.1805
través	0.1851
capacitación	0.1803
transferencia	0.2168
tecnologías	0.2391
digitales"	0.2285
Serie	0.2034
reómetros	0.1985
linea	0.2675
KRheo	0.1598
adaptados	0.2032
robotizados	0.2119
continuidad	0.2109
operacional	0.2607
procesos	0.2163
mineros	0.2496
cobre	0.2152
molibdeno.	0.2249
MONITOREO	0.0145
INDIRECTO	0.0184
DE	0.0148
INFRAESTRUCTURA	0.0156
CON	0.0105
ENFOQUE	0.0119
MACHINE	0.0173
LEARNING	0.0165
catalizadores	0.2364
nanoestructurados	0.2013
mejorar	0.2383
eficiencia	0.2238
sistemas	0.2201
recuperación	0.2287
salmueras.	0.2193
Inóculo	0.1531
bacteriano	0.2609
biocontrolador	0.2196
biofiltros	0.1732
nitrificantes	0.2148
recirculación	0.2273
acuícola	0.1903
RAS.	0.0176
SEM	0.0125
geofisico	0.1916
capaz	0.1550
detectar	0.2498
agua	0.1544
subterranea	0.2147
precisión	0.2352
forma	0.1918
invasiva,	0.1804
antes	0.2625
perforar.	0.2260
Fundaciones	0.2515
prefabricadas	0.2116
resilientes	0.2222
viviendas	0.2298
sociales	0.2369
1	0.0020
2	0.0044
pisos	0.1646
suelos	0.2192
pésima	0.1772
calidad	0.2187
estructural	0.2160
región	0.2180
Biobío.	0.1069
Plug	0.0854
and	0.2390
Play	0.1592
Motors:	0.1541
Tecnología	0.2269
motriz	0.1583
eficiente	0.2011
industria	0.2430
electromovilidad	0.2005
urbana	0.1966
industrial.	0.2337
Proceso	0.2081
dosificación	0.1980
agente	0.2286
potabilizador	0.2026
asistido	0.2137
por	0.1524
Machine	0.2208
Learning	0.2216
enrutamiento	0.2259
reciclada	0.2429
tiras	0.2200
inmunoreactivas	0.2109
identificación	0.2194
rápida	0.2156
específica	0.2088
hongo	0.1271
patógeno	0.2369
Fusarium	0.1662
circinatum	0.1908
forestal.	0.2447
NGB-eDNA.	0.0852
Plataforma	0.1750
genética	0.2300
no-invasiva	0.1760
monitoreo	0.2040
medición	0.2036
biodiversidad	0.2193
comercial	0.2521
alcance	0.2273
tecnología	0.2340
reológica	0.2385
línea	0.2355
Fortalecimiento	0.2135
las	0.1989
estrategias	0.2235
marketing	0.2181
posicionamiento	0.2100
marca	0.1947
ECOGEN	0.0138
Escalamiento	0.2387
expansión	0.2273
mercados	0.2642
internacionales	0.2373
formula	0.2010
fotoprotectora	0.1937
amplio	0.1917
rango	0.2179
radiación	0.2306
UV,	0.0042
partir	0.1902
algas	0.1913
rojas	0.2054
.	0.0088
SmartTruck	0.1375
2.0;	0.0088
software	0.2144
asignación	0.1872
viajes	0.2255
tiempo	0.2100
real	0.2791
empresas	0.2409
transportistas	0.1868
forestales	0.2395
validación	0.2173
variante	0.2476
biobetter	0.1828
Interleuquina	0.2033
humana	0.1815
cáncer	0.1944
renal	0.2873
metastásico.	0.2046
candidato	0.2308
vacunal	0.1973
mucosal	0.2067
contra	0.2397
Virus	0.1408
Andes	0.2348
Esporas	0.2041
Bacillus	0.1759
subtilis	0.1487
salmones	0.2287
Salmo	0.1755
salar	0.2022
plataforma	0.1901
inmunización	0.1684
Piscirickettsia	0.1799
salmonis.	0.1855
comercialización	0.2097
ectoparasiticida	0.2224
ecológico	0.1980
Eucaliptol,	0.1744
mascotas	0.1973
bovinos	0.1736
determinar	0.2581
remover	0.1872
químicos	0.1535
deseados	0.2525
materias	0.2650
primas	0.2242
oleosas	0.2440
eDNA-platform:	0.1855
bioinformática	0.1759
análisis	0.1813
secuencias	0.2289
desde	0.2075
ADN	0.0154
ambiental	0.2451
Servicio	0.2107
condición	0.1827
motores	0.2245
hidráulicos	0.1958
Psicobiótico	0.1356
ansiolítico	0.1878
cerdos	0.2321
producción	0.1984
Producción	0.1838
inmunoestimulador	0.2079
porcina	0.2440
Multisensor	0.2107
fisicoquímico	0.1302
pulpas	0.1872
minerales	0.2596
optimización	0.1901
planta	0.2237
concentradora	0.2251
Reactor	0.2477
síntesis	0.1837
suspensiones	0.1915
acuosas	0.1938
NanoCu	0.1696
excedentes	0.2097
industriales.	0.2463
Evaluación	0.1861
mejorado	0.2366
servicio	0.2178
integración	0.2343
datos	0.2379
operacionales	0.2575
olfatométricos	0.1816
ECOM-BAC2144:	0.0134
Biocontrolador	0.2184
inhibidor	0.1817
Flavobacterium	0.1848
psychrophilum	0.1582
Vibrados	0.2274
ecológicos	0.2093
hormigón	0.1649
base	0.2291
vidrio	0.1886
reciclado	0.2628
Pasta	0.1811
Locos	0.1353
untable	0.2207
Caletas	0.2351
Aysén:	0.1019
propuesta	0.2413
valorización	0.2018
descarte	0.2553
carne	0.2582
Loco	0.1095
