palabra	peso
ACADEMIASOCIAL	0.2678
SCIENCESTERRITORY	0.2445
COMMUNITY	0.2153
RESILIENCEADAPTATIVE	0.2327
STRATEGIESSOCIONATURAL	0.2370
DISASTERSCOMMUNITY	0.2364
DISASTERS	0.2623
COLONIALIDAD	0.2444
NATURALEZA	0.2382
EXTRACTIVISMOS	0.2595
FRACTURAS	0.2336
METABOLICASREAPROPIACION	0.2315
SOCIOANCESTRAL	0.2764
AGUASRESTAURACION	0.2559
METABOLICA	0.2715
RE-EXISTENCIA	0.2630
NEGENTROPIA	0.2589
REGULATIONSALMON	0.2678
AQUACULTUREMULTIPLE	0.1905
SOURCES	0.2366
OF	0.0964
EXTERNALITIES	0.2741
FORMATIVAESTRATEGIAS	0.2233
RETROALIMENTACION	0.2774
FORMATIVA	0.2324
ESCRITURAESTUDIANTES	0.2320
EXTRANJEROS	0.2616
NACIONALES	0.3117
SISTEMA	0.2560
CHILENO	0.2790
ESCRITOPREFERENCIAS	0.2473
ESTUDIANTESADQUISICION	0.2397
L2	0.0717
GESTION	0.2950
JURISDICCIONTRIBUNALES	0.2433
SUPERIORESCASE	0.2619
MANAGEMENT	0.2301
LIDERAZGO	0.2689
PEDAGOGICOUSO	0.2320
DATOSINNOVACION	0.2455
PEDAGOGICA	0.2427
MODELO	0.2349
MIXTO	0.1974
EXPLICATIVO	0.2735
LONGITUDINALVARIABLES	0.2203
AFECTIVAS	0.2702
MOTIVACIONALES	0.2940
COGNITIVAS	0.2670
SOCIALESINTENCION	0.2764
ABANDONO	0.2280
RENDIMIENTO	0.2596
UNIVERSITARIO	0.2752
PEDAGOGIA	0.2474
NARRATIVAEXPERIENCIA	0.2197
SABERES	0.2329
DOCENTESFORMACION	0.2777
DESARROLLO	0.2536
PROFESIONAL	0.2941
HISTORICONARRATIVA	0.2287
HISTORICAESTALLIDO	0.2449
PROGRAMA	0.1990
LECTURA	0.2674
INICIALTRANSICION	0.2594
ARTICULACION	0.2696
CURRICULAR	0.2238
DIDACTICAKINDER	0.2518
PRIMER	0.2226
ANO	0.2171
BASICO	0.2454
ACADEMICOVARIABLES	0.2505
SOCIOEMOCIONALESCONTEXTOS	0.2234
ALTA	0.2033
VULNERABILIDAD	0.2149
TRABAJADOR	0.2106
INDEPENDIENTESEGURIDAD	0.2222
SOCIALPREVISION	0.2630
QUIMICACOMPETENCIASEDUCACION	0.2232
ESTADOGUBERNAMENTALIDADPOLITICAS	0.2044
PUBLICAS	0.2440
TRANSMISION	0.2535
EXPECTATIVAS	0.2599
DOCENTES	0.2856
DENTRO	0.2820
SALA	0.2139
CLASES.EXPERIENCIA	0.2403
FACTOR	0.2331
QUE	0.1531
AFECTA	0.2473
DOCENTES.SER	0.2491
O	0.0997
NO	0.1553
MIGRANTE	0.2711
CARACTERISTICA	0.2602
EXPECTATIVA	0.2495
DOCENTE.	0.2562
INMIGRACION	0.2655
INTERNACIONALSEGREGACION	0.2314
RESIDENCIALINTERSECCIONALIDAD	0.2335
AMBIENTES	0.2804
INMERSIVOSPRACTICA	0.2431
PEDAGOGICADESEMPENO	0.2363
AMBIENTAL	0.2855
AGUAS	0.1929
PRINCIPIOS	0.2458
JUSTICIA	0.2425
MATEMATICASFORMACION	0.2418
INICIALINTERCULTURALIDAD	0.2010
EMOCIONESCOMPROMISO	0.2225
ESCOLARRELACION	0.2750
DOCENTE-ESTUDIANTE	0.2382
ACADEMICARETROALIMENTACIONFEEDBACK	0.2040
EXITO	0.2521
ACADEMICOEDUCACION	0.2411
SUPERIORDIVERSIDAD	0.2236
GOBERNANZA	0.2331
CUIDADO	0.2690
COMUNESONTOLOGIAS	0.2520
NATURALEZADIALOGO	0.2252
IMAGINARIOS	0.2566
SOCIALESESTUDIANTESEDUCACION	0.2254
MATEMATICA	0.2394
TEMPRANA	0.2535
COMPETENCIA	0.2758
MATEMATICAAPPSANSIEDAD	0.2050
PERSPECTIVA	0.2736
TIEMPOPERFIL	0.2173
TEMPORALRESULTADOS	0.2360
ACADEMICOS	0.2825
RESPONSABILIDAD	0.2392
CIVILRIESGOCULPA	0.2249
RETIRO	0.2669
LABORALTRABAJADORES	0.2089
MAYORESBIENESTAR	0.2494
LOCALITYNEWS	0.2631
USERSJOURNALISM	0.2276
INTELECTUAL;	0.2522
TRANSFERENCIA	0.2618
TECNOL	0.2641
AI-GENERATED	0.2476
EDUCATIONAL	0.3065
PERSONALIZED	0.2721
LEARNING	0.2522
COMMITMENT	0.2410
DEVICES	0.2601
CONTEXTUAL	0.2571
BANDITS	0.2512
PHYSICAL	0.2300
ACTIVITY	0.2159
ONLINE	0.2491
SOFTWARE	0.2258
ENTRENAMIENTO	0.2499
LECTOR	0.2655
ESPACIOS	0.2985
EDUCATIVOS	0.2922
MOTIVACION	0.2708
BIENESTAR	0.2863
SUBJETIVO	0.2347
ESTRES	0.2408
VARIABLES	0.2580
BIOLOGICAS	0.2363
ASOCIADAS	0.2495
AL	0.1716
DESEMPENO	0.2464
PSICOCOMPORTAMENTALES	0.2424
ENTORNOS	0.2649
VIRTUALES	0.2613
INCLUSIVA	0.2467
ENFOQUE	0.2118
ITINERARIO	0.2848
SUITABILITY	0.2117
ECOSYSTEM	0.2364
SERVICES	0.2491
RENEWABLE	0.2421
PLANNING	0.1979
EDUCATIVO	0.2847
DIVERSIDAD	0.2626
COMUNIDADES	0.2821
ESCOLARES	0.2799
POLITICA	0.2493
SUBSIDIARIO	0.2461
INTERLEGAL	0.2721
PUEBLO	0.2196
MAPUCHE	0.2129
REGION	0.2798
BIOBIO	0.1615
PROSPERIDAD	0.2417
TECNOLOGIAS	0.2701
INMERSIVAS	0.2743
COMPETENCIAS	0.2829
SOCIOEMOCIONALES	0.2624
RECUERDO	0.2355
COORDINACION	0.2704
INTERPERSONAL	0.2713
PERSONAS	0.2995
MAYORES	0.2619
RETIREMENT	0.2432
INCOME	0.2622
DEFINED	0.2458
CONTRIBUTION	0.2349
WITH	0.1373
INDIVIDUAL	0.2364
ACCOUNTS	0.2502
DEBT	0.2148
BURDEN	0.2381
HEALTH	0.2331
REPRESENTACION	0.2844
ADOLESCENTE	0.2803
SPONTANEOUS	0.2416
VOLUNTEERS	0.2411
DISASTER	0.2714
TRANSDISCIPLINE	0.2551
AUTOGESTIVO	0.2508
AUTOGESTION	0.2746
AUTONOMIA	0.2390
DIVISION	0.2520
SEXUAL	0.2364
INCENDIOS	0.2841
FORESTALES	0.2689
RESILIENCIA	0.2936
INDICADORES	0.2985
nan	0.0017
