	Código Proyecto	Foco Apoyo	Tipo Intervención	Instrumento	Instrumento Homologado	Estado Data	Tipo Persona	Rut Beneficiario	Beneficiario	Título	Objetivo	Año Adjudicación	Financiamiento Innova	Aprobado Privado	Aprobado Privado Pecuniario	Monto Certificado Ley	Tipo Innovación	Mercado Objetivo	Criterio Mujer	Género	Sostenible	ODS principal	Meta principal	Economía Circular	Modelo de Circularidad	Región	Tramo Ventas	Inicio Actividad Económica	Sector Económico	Patron principal asociado	Tipo proyecto	R principal	Estrategia R Principal	Ley REP	Ley REP (Sí/No)	ERNC	Tendencia Final
29	PI-6070	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76248671-7	MAR FUSIÓN S.A.	Desarrollar un producto modulador metabólico en base oleosa para la deposición sitio-dirigida de las grasas en salmónidos mediante la formulación de suspensiones o emulsiones fisicoquímicamente estables.	Información no pública	2024.0	0			$252.141.869	Producto	Pesca y acuicultura	No	Masculino	No					Región del Biobío	Grande	2012-11-26 00:00:00	Alimentos (excepto vitivinícola)								Química Verde (Green Chemestry)
30	PI-6068	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	92307000-1	RHONA S.A.	DESARROLLO DE BOBINAS Y SISTEMA DE AISLACIÓN PARA TRANSFORMADORES DE 220 kV	Información no pública	2024.0	0			$1.416.473.892	Producto	Energético	No	Masculino	Sí					Región de Valparaíso	Grande	1993-01-01 00:00:00	Manufactura de maquinaria y equipos (Metalmecánico)								Sin tendencia
35	PI-6057	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76440430-0	Sociedad Agrícola y Comercial AGNI SCS Limitada	Investigación y desarrollo de una tecnología microbiana que permita disminuir el uso de agroquímicos, optimizar el recurso hídrico y aumentar la productividad en el cultivo de trigo candeal y otros cereales.	Información no pública	2024.0	0			$1.945.834.096	Producto	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí					Región del Biobío	Mediana	2015-06-15 00:00:00	Agrícola (excepto vitivinícola)								Manufactura Avanzada (Advanced Manufacturing)
38	PI-6052	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96568740-8	GASCO GLP S A	Desarrollo de un prototipo avanzado de producción de gas licuado renovable a través de la optimización de un proceso termoquímico utilizando aceites residuales de fritura.	Información no pública	2024.0	0			$105.600.000	Proceso	Energético	No	Masculino	Sí					Región del Biobío	Grande	1993-01-01 00:00:00	Energético								Manufactura Avanzada (Advanced Manufacturing)
44	PI-6018	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96532330-9	CMPC PULP SPA	Desarrollo de herramientas para la optimizar la producción de pulpa de celulosa con enfoque en la calidad y en los costos	Información no pública	2024.0	0			$2.189.328.490	Proceso	Forestal	No	Masculino	No					Región del Biobío	Grande	1993-01-01 00:00:00	Forestal								Manufactura Avanzada (Advanced Manufacturing)
45	PI-6015	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	90227000-0	VIÑA CONCHA Y TORO S.A	Desarrollo y validación de herramientas tecnológicas y de manejo vitícola para la reducción del uso de agua en viñedos comerciales	Información no pública	2024.0	0			$813.939.821	Proceso	Vitivinícola	No	Masculino	Sí					Región del Maule	Grande	1993-01-01 00:00:00	Vitivinícola								Green Technologies (Tecnologías Verdes)
46	PI-6011	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	90227000-0	VIÑA CONCHA Y TORO S.A	Vino bajo en alcohol y calorías con funcionalidad antioxidante superior	Información no pública	2024.0	0			$69.702.354	Producto	Vitivinícola	No	Masculino	No					Región del Maule	Grande	1993-01-01 00:00:00	Vitivinícola								Alimentos Funcionales
47	PI-6009	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	90227000-0	VIÑA CONCHA Y TORO S.A	Vino con D.O. Maule enriquecido en resveratrol desde cepas patrimoniales mediante estrategias circulares	Información no pública	2024.0	0			$81.106.488	Producto	Vitivinícola	No	Masculino	No					Región del Maule	Grande	1993-01-01 00:00:00	Vitivinícola								Sin tendencia
48	PI-6005	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93077000-0	METSO CHILE SPA	Sistema de monitoreo de descargas parciales para molienda GMD	Información no pública	2024.0	0			$1.262.545.056	Proceso	Minería y metalurgia extractiva	No	Masculino	No					Región de Valparaíso	Grande	1993-01-01 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)								Sin tendencia
65	PI-5897	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93077000-0	METSO CHILE SPA	Reutilización de productos mineros fuera de uso	Información no pública	2024.0	0			$7.256.450.180	Producto	Minería y metalurgia extractiva	No	Masculino	Sí					Región de Valparaíso	Grande	1993-01-01 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)								Sin tendencia
66	PI-5840	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93077000-0	METSO CHILE SPA	Sistema de predicción de desgaste de carbones para molienda GMD	Información no pública	2024.0	0			$746.279.998	Proceso	Minería y metalurgia extractiva	No	Masculino	No					Región de Valparaíso	Grande	1993-01-01 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)								Inteligencia Artificial (IA)
70	PI-5741	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	80326500-3	OXIQUIM S.A.	Desarrollo de resinas fenólicas mas reactivas para mejora de la productividad en la fabricación de tableros contrachapados	Información no pública	2024.0	0			$351.920.911	Producto	Química, caucho y plásticos (excepto industria farmacéutica)	No	Masculino	No					Región del Biobío	Grande	1993-01-01 00:00:00	Logística y Transporte								Sin tendencia
73	PI-5723	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96528420-6	FPC PAPELES SPA	Desarrollo de sensores virtuales mediante machine learning para la producción de papel reciclado	Información no pública	2024.0	0			$410.813.220	Proceso	Forestal	No	Masculino	Sí					Región del Biobío	Grande	1993-01-01 00:00:00	Forestal								Inteligencia Artificial (IA)
76	PI-5714	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76289699-0	AMERICAN BIOPROCESS SPA	Escalamiento y validación de un proceso para la revalorización de residuos de la industria del omega-3 destinado a la producción de insumos alimenticios para la salmonicultura y camaronicultura	Información no pública	2024.0	0			$890.998.182	Proceso	Pesca y acuicultura	No	Masculino	Sí					Región de Valparaíso	Grande	2013-07-21 00:00:00	Comercio y retail								Sin tendencia
79	PI-5698	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	80326500-3	OXIQUIM S.A.	Desarrollo de resinas urea formaldehido con bioextendedores para tableros aglomerados	Información no pública	2024.0	0			$797.836.426	Producto	Química, caucho y plásticos (excepto industria farmacéutica)	No	Masculino	Sí					Región del Biobío	Grande	1993-01-01 00:00:00	Logística y Transporte								Sin tendencia
89	24PATI-272038	Entorno para la innovación	Subsidio	Programa de Absorción Tecnológica para la Innovación	Programas de difusión y prospección tecnológica	VIGENTE	Persona Jurídica constituida en Chile	65213720-2	Corporación de Desarrollo del Valle de Aconcagua	Absorción tecnológica en tratamiento de residuos orgánicos para empresas del sector turístico del Valle de Aconcagua	Mejorar las capacidades de innovación de un grupo de empresas del sector turístico del Valle de Aconcagua a través de actividades de prospección y absorción tecnológica de conocimientos, mejores prácticas y tecnologías, que permitan la valorización económica de los residuos orgánicos generados por ellas, contribuyendo a la sustentabilidad y al desarrollo territorial equilibrado.	2024.0	72810000	$57.630.000	$57.630.000			Turismo	No	Femenino	Sí	ODS9				Región de Valparaíso	Sin ventas	2003-05-29 00:00:00	Asociaciones y organizaciones no empresariales ni gubernamentales								Química Verde (Green Chemestry)
90	24PATI-272035	Entorno para la innovación	Subsidio	Programa de Absorción Tecnológica para la Innovación	Programas de difusión y prospección tecnológica	VIGENTE	Persona Jurídica constituida en Chile	61312000-9	Instituto de Investigaciones Agropecuarias	Uso eficiente del agua en nuevas variedades y portainjertos de uva de mesa en la zona central de Chile a través de la demostración y el uso de tecnología de sensores	Generar absorción tecnológica de sensores realizando demostraciones in situ de su utilización y determinar los efectos fisiológicos de las plantas por la utilización de tecnología de sensores para hacer un uso más eficiente del agua en cada uno de los beneficiarios del programa	2024.0	150566320	$100.464.000	$100.464.000			Agrícola (excepto cultivo de uvas)	No	Masculino	Sí	ODS2				Región de Valparaíso	Grande	1993-01-01 00:00:00	Servicios de ingeniería o de conocimiento								Internet de las Cosas (IoT)
95	24PATI-272012	Entorno para la innovación	Subsidio	Programa de Absorción Tecnológica para la Innovación	Programas de difusión y prospección tecnológica	VIGENTE	Persona Jurídica constituida en Chile	60911006-6	UNIVERSIDAD DEL BÍO-BÍO	Datos y sistemas inteligentes 4.0 para desarrollos de alto potencial en empresas manufactureras y de ingeniería	Mejorar las capacidades de innovación de 5 empresas, mediante el fortalecimiento de las capacidades de absorcióntecnológica, la incorporación de nuevo conocimiento y tecnologías en el ámbito de los datos, industria 4.0 e inteligencia artificial	2024.0	66820189	$38.557.810	$38.557.810			Manufactura de maquinaria y equipos (Metalmecánico)	Incentivo	Masculino	No					Región del Biobío	Grande	1993-01-01 00:00:00	Educación								Inteligencia Artificial (IA)
96	24PATI-270036	Entorno para la innovación	Subsidio	Programa de Absorción Tecnológica para la Innovación	Programas de difusión y prospección tecnológica	VIGENTE	Persona Jurídica constituida en Chile	81669200-8	Pontificia Universidad Católica de Valparaíso	Plan de optimización del ciclo de vida de las obras mediante la implementación tecnológica en metodología  BIM	Contribuir a mejorar las capacidades de innovación sistemática en un conjunto de empresas constructoras Pymes de la Región de Valparaíso, mediante el fortalecimiento de capacidades absorción  con la implementación de metodología BIM incorporando, tecnología, nuevo conocimiento, mejores practicas, en sus fases de ejecución y mantención, buscando desarrollar oportunidades de optimización del ciclo de vida en obras y una productividad sostenible, además de impulsar procesos de transformación digital en las empresas.	2024.0	279661763	$70.422.000	$70.422.000			Construcción	Incentivo	Masculino	Sí	ODS9				Región de Valparaíso	Grande	1993-01-01 00:00:00	Educación								Manufactura Avanzada (Advanced Manufacturing)
98	24PATI-266287	Entorno para la innovación	Subsidio	Programa de Absorción Tecnológica para la Innovación	Programas de difusión y prospección tecnológica	VIGENTE	Persona Jurídica constituida en Chile	81494400-k	Universidad de Concepción	Absorción de Sistemas Inteligentes para Mantenimiento Preventivo y Predictivo	Implementar un paquete tecnológico avanzado que permita la medición en tiempo real de variables clave en los activos críticos de las empresas beneficiarias. Esta iniciativa busca fortalecer las capacidades de absorción tecnológica de las empresas mediante la incorporación de nuevos conocimientos, mejores prácticas y tecnologías, alineándose completamente con los objetivos del programa.Mediante la implementación de estos sistemas inteligentes, se habilitará a las empresas para que puedan realizar un monitoreo continuo y detallado del estado de sus activos críticos. El paquete tecnológico incluye dispositivos de última generación que capturan datos precisos de variables críticas como consumo eléctrico, vibraciones, temperatura y posición, los cuales son analizados en tiempo real. Esta capacidad de monitoreo avanzado permitirá identificar patrones de funcionamiento normal y anormal, facilitando la detección temprana de posibles fallas y mejorando los procesos de mantenimiento.El uso de esta tecnología avanzada de monitoreo y análisis busca mejorar la disponibilidad de la maquinaria crítica, lo que reduce los tiempos de inactividad no planificados. Al anticipar y prevenir fallas mediante un mantenimiento predictivo y preventivo, las empresas pueden optimizar sus procesos productivos, reducir costos operativos asociados a reparaciones inesperadas y mantener un flujo de producción constante y eficiente.Esta iniciativa también fomentará una cultura de innovación sistemática dentro de las empresas beneficiarias, proporcionando las herramientas y conocimientos necesarios para la adopción y adaptación de tecnologías avanzadas. A través de la absorción tecnológica, las empresas podrán desarrollar y fortalecer sus capacidades internas para gestionar y mantener tecnologías de monitoreo avanzado, lo que incrementará su competitividad en el mercado y su capacidad de adaptación a futuros desafíos tecnológicos.El impacto esperado de este proyecto no solo se refleja en la mejora de la eficiencia operativa y la reducción de costos, sino también en la promoción de prácticas sostenibles y responsables. Al mejorar la eficiencia de los activos críticos y reducir las interrupciones en la producción, las empresas pueden minimizar su huella ambiental y contribuir a un desarrollo industrial sostenible. Además, mediante la obtención y seguimiento de datos como el consumo energético, es posible optimizar y planificar de mejor manera el proceso productivo, pudiendo reconocer y reducir consumos innecesarios como detenciones y reanudaciones de maquinaria, aumentando directamente la eficiencia energética de la planta.	2024.0	270000000	$72.000.000	$72.000.000			Multisectorial	No	Masculino	Sí	ODS9				Región del Biobío	Grande	1993-01-01 00:00:00	Educación								Inteligencia Artificial (IA)
99	24IRS-264384	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76832205-8	GCG Green Chain Group SpA	BioVitis: Nutrición Inteligente para Viñedos con Biofertilizantes Especializados	"Validar técnicamente el biofertilizante líquido ""BioVitis"" a través de la mejora y estandarización de proceso de producción a partir de humus de lombriz, harina de lombriz, fertilizantes minerales y consorcio microbiano para la industria vitivinícola en Chile."	2024.0	59991000	$15.000.000	$9.480.000		Producto	Vitivinícola	No	Masculino	Sí	ODS2				Región de Valparaíso	Microempresa	2018-01-24 00:00:00	Comercio y retail								Sin tendencia
103	24IRS-264361	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76685404-4	manglares spa	Kénos, Cosmética sostenible con nuevo proceso de obtención de queratina a partir de lana de oveja	Desarrollar y comercializar una mejorada línea de productos cosméticos (cremas y serum) utilizando un método de extracción de queratina, a partir de la lana de oveja, mediante hidrólisis enzimática. Este nuevo método, más sostenible y eficiente, permitirá reducir significativamente los desechos químicos y la huella de carbono, obteniendo un componente activo que sirva para minimizar el impacto medioambiental que generamos en la industria cosmética sin perder la eficacia de los productos.	2024.0	60000000	$15.070.000	$7.570.000		Proceso	Salud y Farmacéutica (en humanos)	No	Masculino	Sí	ODS12				Región de Valparaíso	Pequeña	2017-02-04 00:00:00	Comercio y retail								Green Technologies (Tecnologías Verdes)
104	24IRS-264355	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76233096-2	Neering SpA	Plataforma Inteligente para Clasificación Automatizada de Inspecciones de Drones en Redes Eléctricas	Desarrollar un sistema  que permita operar drones, capturar su data y procesala en la nube utilizando inteligencia artificar para la clasificación y priorización de hallazgos en lineaas de transmisión	2024.0	56124990	$38.139.970	$19.419.970		Servicio	Energético	No	Masculino	Sí	ODS7				Región de Valparaíso	Pequeña	2012-08-31 00:00:00	Tecnologías de la información								Drones
108	24IRS-264327	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76405379-6	RASOIL SpA	Valorización del residuo de semilla de rosa mosqueta generado en la elaboración de aceite con el fin de recuperar fibra dietaria y proteína para desarrollar un ingrediente con funcionalidad tecnológica orientado al mercado de alimentos sin gluten.	Valorizar el residuo de semilla de rosa mosqueta generado en la elaboración de aceite con el fin de recuperar fibra dietaria y proteína para desarrollar un ingrediente con funcionalidad tecnológica orientado al mercado de alimentos sin gluten.	2024.0	60000000	$15.120.000	$7.560.000		Producto	Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí	ODS12				Región del Maule	Pequeña	2014-10-01 00:00:00	Alimentos (excepto vitivinícola)								Sin tendencia
109	24IRS-264323	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	77221203-8	Agrotecnologías e Ingeniería SPA	TrewaOX: Aditivo antioxidante natural de orujo de uva para su incorporación en snacks para perros	Desarrollar, escalar y validar un aditivo antioxidante a base de orujo de uva del Maule, utilizando técnicas sostenibles de upcycling y métodos avanzados de extracción, para su incorporación en snacks para perros. Este proyecto ofrecerá una solución natural y efectiva para la nutrición canina, contribuyendo a la reducción y revalorización de residuos y promoviendo el desarrollo sostenible de una de las principales regiones vitivinícolas de Chile	2024.0	60000000	$15.000.000	$7.500.000		Producto	Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí	ODS12				Región del Maule	Sin ventas	2020-11-03 00:00:00	Agrícola (excepto vitivinícola)								Alimentos Funcionales
110	24IRS-264322	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76925499-4	Rekotec spa	ATXorg insumo sustentable para nutrición animal	Obtener Astaxantina de origen orgánico mediante la optimización y escalamiento del proceso de extracción con solventes orgánicos, validando técnica y comercialmente el producto obtenido para orientarlo al mercado de la nutrición animal.	2024.0	67489917	$7.565.490	395.49		Producto	Alimentos (excepto producción de vino y derivados)	Incentivo	Masculino	Sí	ODS13				Región del Biobío	Pequeña	2018-10-04 00:00:00	Servicios de ingeniería o de conocimiento								Manufactura Avanzada (Advanced Manufacturing)
115	24IRS-264297	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	77296555-9	BeLoop SpA	Optimización  de software de medición de impacto ambiental y validación de pasaportes digitales de envases y embalajes	Optimizar y validar técnica y comercialmente plataforma BeLoop, desarrollada en categoría Build StartUp Chile, código 22BLD-232151 (antes llamado Looptest) mediante la mejora de parámetros, y validación de pasaportes digitales, podremos integrar una solución de trazabilidad de impacto ambiental  que contribuya al fortalecimiento de la economía regional sustentable	2024.0	67494512	$11.817.488	$1.957.488		Servicio	Otros servicios empresariales	Incentivo	Femenino	Sí	ODS12				Región de Valparaíso	Microempresa	2021-02-01 00:00:00	Servicios de ingeniería o de conocimiento								Green Technologies (Tecnologías Verdes)
124	24IRS-264251	Desarrolla innovación	Subsidio	Innova Región Sostenible	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	77032568-4	VALORIZ DE RESID ORGANIC SOLID Y SEMISOL VROSS SPA	Mejora y validación técnica-comercial de una formulación biodegradable con propiedades adsorbentes y aglomerantes, en base a residuos de la industria mitilicultora, para la obtención de productos sanitarios en el mercado de mascotas.	Optimizar y validar técnica y comercialmente una formulación biodegradable con propiedades adsorbentes y aglomerantes, en base a residuos de la industria mitilicultora, para el desarrollo de productos sanitarios en el mercado de mascotas.	2024.0	60000000	$40.000.000	$20.500.000		Producto	Comercio y retail	No	Masculino	Sí	ODS9				Región del Biobío	Mediana	2019-06-26 00:00:00	Gestión de desechos								Química Verde (Green Chemestry)
130	24IRM-255432	Desarrolla innovación	Subsidio	Innova Región Mujeres	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76000465-0	LAB. DE ANALISIS Y ASESORIAS AGR. LABOQUIMTERRA	Desarrollo de Sampling Chat, nueva herramienta tecnológica que une la georeferenciación y la IA para brindar asesoramiento efectivo que facilita la toma decisiones y optimiza los resultados del sector agrícola.	Realizar todas las actividades técnicas para, a partir del prototipo de geomuestras y sistema de resultados del laboratorio Laboquimterra, obtener Sampling Chat. Realizar todas las actividades para que este nuevo producto pueda lanzarse exitosamente al mercado y obtener una validación comercial incipiente; inicialmente en la región de Valparaíso, para luego expandir su comercialización a nivel nacional.	2024.0	67415000	$7.495.000	$7.495.000		Servicio	Agrícola (excepto cultivo de uvas)	Convocatoria	Femenino	No	ODS2				Región de Valparaíso	Pequeña	2007-11-28 00:00:00	Agrícola (excepto vitivinícola)								Mass customization
139	24IRM-255365	Desarrolla innovación	Subsidio	Innova Región Mujeres	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76900088-7	AcuiOlive SpA	“InmuOlive: Validación Funcional de un Aditivo Potenciador del Bienestar Animal en Salmónidos”	Nuestro objetivo es validar funcionalmente el producto InmuOlive como un aditivo que promueve la respuesta inmune innata en salmonidos. Con pruebas de desafío con patógenos de impacto en la industria salmonera se pretende lograr el objetivo, así ser elegible para contribuir en la sanidad acuícola de salmónidos y satisfacer el mercado de la nutrición de peces. Con esto y otras actividades que estamos desarrollando en paralelo estaremos madurando nuestra tecnología y avanzando a un TRL 7	2024.0	67500000	$7.570.000	$4.270.000		Producto	Pesca y acuicultura	Convocatoria	Femenino	No	ODS9				Región del Maule	Microempresa	2018-08-14 00:00:00	Alimentos (excepto vitivinícola)								Sin tendencia
141	24IRM-255338	Desarrolla innovación	Subsidio	Innova Región Mujeres	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	77169065-3	BREAKING CUPPER CHILE LIMITADA	Green Grow Tech (GGT): Mejora tecnológica para nuestro Aditivo Ecológico de Nanopartículas de Cobre	Desarrollar una mejora tecnológica de nuestro Aditivo Ecológico Inteligente (AEI), potenciando las capacidades curativas y fertilizantes, e incorporando propiedades protectoras ante escenarios de estrés hídrico, mediante la utilización de subproductos de la minería del litio. Ampliando nuestra propuesta de valor y presentando un producto o múltiples productos, para las distintas etapas del cultivo.	2024.0	67500000	$7.560.000	$3.810.000		Producto	Agrícola (excepto cultivo de uvas)	Convocatoria	Femenino	Sí	ODS13				Región del Maule	Microempresa	2020-07-01 00:00:00	Servicios de ingeniería o de conocimiento								Clean Energy Technologies
153	24IRM-255267	Desarrolla innovación	Subsidio	Innova Región Mujeres	Innova Región	VIGENTE	Persona Jurídica constituida en Chile	76863259-6	Key Process SpA	“Implementación de Sistema de Gestión de energía y riesgos, para la Optimización y Control en un sistema de Producción de Hidrógeno Verde piloto, con tecnología AEM, integrado por KeyProcess KOT®”	Desarrollar un Sistema de Gestión Inteligente avanzado, basado en electrolizador AEM que optimice y asegure la eficiencia sostenibilidad y seguridad en todas las etapas de producción de H2V incluyendo electrólisis alimentada por energías renovables hasta el almacenamiento, mejorando la respuesta a la variabilidad de generación de energía y gestión de riesgos, a fin de consolidar una infraestructura energética limpia y resiliente para la adopción del H2V en la industria de la región de Valparaíso	2024.0	67491000	$7.580.000	$3.800.000		Servicio	Energético	Convocatoria	Masculino	Sí	ODS13				Región de Valparaíso	Pequeña	2018-04-23 00:00:00	Comercio y retail								Manufactura Avanzada (Advanced Manufacturing)
