palabra	peso
WASTEACTIVE	0.2501
HYDROGELSBIOFERTILIZER	0.2037
GESTATIONTROPHOBLASTBOVINE	0.2127
ENDOMETRIUM	0.2334
NANOGELSSOIL	0.2434
WATERTRANSPORTDESERT	0.2107
BIOFILMSWASTEWATERBIO-ECONOMY	0.1826
SUPEROVULATIONCATTLE	0.2418
PRODUCTIONRECOMBINANT	0.2409
PROTEINSUPEROVULATIONCATTLE	0.2214
PROTEIN	0.2863
TEAT	0.2320
DIPPINGTERPENESBOVINE	0.2123
INTRAMAMMARY	0.1983
INFECTIONSTEAT	0.2755
INFECTIONS	0.2891
GRAPEFRUIT	0.2264
WASTEPHENOLICS	0.2512
COMPOUNDSGREEN	0.2371
TECHNOLOGY	0.2350
DEFOLIATION	0.2813
FREQUENCYPLANTAINPLANT	0.1900
BIOACTIVE	0.2670
COMPOUNDS	0.2297
CHILLING	0.2195
INJURYGENE	0.2276
OVEREXPRESSIONMELATONIN	0.2164
BIOSYNTHESIS	0.2508
PATOGENOS	0.2882
VIDRADICAL	0.2104
HIDROXILOREACCION	0.2331
FENTON	0.2490
PROBIOTICO	0.2277
CANINOMICROBIOTA	0.2306
INTESTINALENVEJECIMIENTO	0.2070
HEAT	0.2351
DROUGHTFLORAL	0.2113
SCENT	0.2555
REWARDSPOLLINATOR	0.2525
BEHAVIOR	0.2518
ANIMAL	0.2330
HEALTH	0.2237
MOLECULAR	0.2364
DIAGNOSTIC	0.2785
TESTS	0.2219
IOT	0.2292
AGRICULTURAL	0.2276
EXTENSIVE	0.2473
ADAPTATION	0.2544
CLIMATE	0.2786
CHANGE	0.2535
APIS	0.2257
MELLIFERA	0.2250
VIRUS	0.1963
ELECTROPHYSIOLOGY	0.2223
DROUGHT	0.2114
GAINS	0.2595
ROOT	0.1994
ARCHITECTURE	0.2377
EMERGING	0.2426
CONTAMINANTS	0.2513
GLUCOSINOLATES	0.2725
SECURITY	0.2438
MODELO	0.2286
GEOESPACIAL	0.2506
PARA	0.1721
MAPEO	0.2376
INCENDIOS	0.2747
FORESTALES	0.2653
2000	0.0041
-	0.0063
2023	0.0041
EVALUACION	0.2726
ECOSISTEMAS	0.2658
POST-INCENDIO	0.2571
SENSORES	0.2473
REMOTOS	0.2564
MACHINE	0.2756
LEARNING	0.2597
METAGENOMIC	0.2616
NEXT-GENERATION	0.2487
DEEP	0.1723
UNCULTIVABLE	0.2367
MICROORGANISMS	0.2425
NUTRITIONAL	0.2640
FUNCTIONAL	0.2729
GLUCOSINOLATE	0.2705
SULFUR	0.1640
AMINO	0.2648
ACID	0.2194
SCARCITY	0.2365
DEFICIENCY.	0.2206
MODELING	0.2654
RUMINAL	0.2533
FLUKES	0.1925
PARAMPHISTOMIDAE	0.2335
DOMESTIC	0.2833
RUMINANTS	0.2742
WILDFIRES	0.2350
ORGANIC	0.2542
MATTER	0.2360
NUTRIENT	0.2487
DYNAMICS	0.2309
ECOSYSTEMS	0.2384
ANTIPARASITIC	0.2353
DRUGS	0.1931
INDUSTRIA	0.2674
SALMONERA	0.2577
DAIRY	0.2205
COWS	0.1915
LOSSES	0.2238
REDUCTION	0.2880
METHANE	0.2576
EMISSION	0.2627
ENVIRONMENTALLY-FRIENDLY	0.1888
BIOPESTICIDES	0.2395
PREHARVEST	0.2430
APPLICATION	0.2754
FUNGICIDE	0.2260
nan	0.0054
